1255.5513,1813.7531
1398.5319,1610.1142
913.2646,1536.4575
1086.5743,1506.1283
1246.8858,1471.4664
709.62566,1371.8133
1090.9071,1319.8204
1246.8858,1293.8239
479.99027,1185.5053
904.59912,1150.8434
1086.5743,1133.5124
1251.2186,1120.5142
687.96195,739.23274
1082.2416,752.23097
1402.8646,756.56372
1671.4947,1614.4469
1922.7938,1692.4363
2230.4186,1813.7531
1927.1265,1519.1265
2416.7265,1666.4398
1675.8274,1280.8257
1797.1442,1302.4894
1931.4593,1332.8186
2074.4398,1371.8133
1797.1442,1129.1796
2083.1053,1168.1743
1675.8274,938.53894
1940.1248,960.20265
2260.7478,981.86637
1940.1248,760.89646
